System,Region,Historical Epoch,Start,sovereignty_index,admin_index,disobedience_freedom,surplus_legibility,Latitude,abs_lat,seasonality,seas_ord,Economic Base,binding_mechanism,bind,Collapse Cause,ctype,Gender Roles,g_egal,norm_frac,coding_confidence
Abbasid Caliphate,Middle East,Medieval,750,0.550,0.800,0.250,0.650,,,,,,,mixed,,other,,0,0.938,2
Aboriginal Elders Councils,Australia,,-5000,0.200,0.100,0.750,0.100,,,medium,2.000,,kinship/sacred,social,,other,,0,0.500,3
Aboriginal Tjurunga Councils,Australia,Paleolithic,-8000,0.400,0.300,0.600,0.100,-25.000,25.000,low,1.000,Foraging,none,none/voluntary,,other,Gender-restricted,0,0.500,1
Achaemenid Persian Empire,Middle East,Ancient,-550,0.550,0.800,0.280,0.600,,,,,,,mixed,,other,,0,0.812,2
Adena Moundbuilder Councils,USA,Woodland,-1000,0.650,0.500,0.350,0.400,39.000,39.000,medium,2.000,Pipeweed,ritual,ritual,Climate change,environmental,Gender-balanced,1,0.600,1
Ainu Bear Ritual Governance,Japan,Paleolithic,-10000,0.850,0.600,0.100,0.100,43.100,43.100,low,1.000,Salmon/foraging,ritual,ritual,Japanese annexation,conquest,Gender-segregated,0,0.500,1
Akan Amanhene Gold States,Ghana,Early Modern,1400,0.750,0.450,0.200,0.400,6.700,6.700,low,1.000,Gold/cocoa,ritual,ritual,British colonization,conquest,Male kings (female advisors),0,0.667,1
Akan Chieftaincy,West Africa (Akan),,1000,0.500,0.200,0.600,0.400,,,low,1.000,,clan,social,,other,,0,0.500,2
Aleut Unangan Whalebone Chiefs,USA,Early Modern,1741,0.500,0.450,0.200,0.400,52.000,52.000,low,1.000,Sea otter pelts,none,none/voluntary,Russian conquest,conquest,Male whalers,0,0.667,1
Almoravid Lamtuna Councils,Morocco,Medieval,1040,0.650,0.500,0.350,0.500,31.800,31.800,low,1.000,Trans-Saharan trade,none,none/voluntary,Almohad revolt,internal,Male imams,0,0.600,1
Alpine Pastoral Communes,Switzerland/Austria,Medieval,1200,0.400,0.300,0.500,0.400,46.500,46.500,low,1.000,Dairy farming,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,1.000,1
Althingi Carbon-Neutral Parliament,Iceland,Medieval-Modern,930,0.200,0.750,0.850,0.400,64.100,64.100,low,1.000,Geothermal energy,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.133,2
Anasazi Kiva Water Councils,USA,Medieval,750,0.200,0.400,0.800,0.400,36.100,36.100,low,1.000,Corn/beans,none,none/voluntary,Drought,environmental,Gender-restricted,0,0.750,1
Andean Ayllu Systems,Peru,Bronze Age,-1000,0.200,0.250,0.750,0.450,-13.200,13.200,medium,2.000,Potato/maize,clan,social,Spanish conquest,conquest,Gender-complementary,0,0.800,2
Andean Tinku,Andean South America,,-500,0.200,0.100,0.700,0.300,,,medium,2.000,,ritual,ritual,,other,,0,0.500,2
Andorran Co-Principality,Andorra,Medieval,1278,0.300,0.550,0.700,0.400,42.500,42.500,none,0.000,Tourism/Banking,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.182,2
Apartheid Bantustans,South Africa,Modern,1948,0.850,0.600,0.100,0.400,-29.000,29.000,low,1.000,Migrant labor,none,none/voluntary,ANC resistance,other,Male puppets,0,0.500,1
Arctic Nenets Yamal Councils,Russia,Modern,1700,0.200,0.400,0.900,0.400,67.500,67.500,high,3.000,Reindeer fur,none,none/voluntary,Sovietization,other,Male herders,0,0.750,1
Ashanti Confederacy,West Africa,Early Modern,1670,0.650,0.400,0.350,0.600,6.700,6.700,none,0.000,Gold/cocoa,tribute/military,material,British colonization,conquest,Male kings (female advisors),0,0.750,2
Assyrian Military Autocracy,Mesopotamia,Iron Age,-911,0.950,0.850,0.000,0.800,36.400,36.400,none,0.000,Tribute economy,coercion,coercive,Medo-Babylonian revolt,internal,Male soldiers,0,0.824,2
Athenian Democracy,Greece,Iron Age,-508,0.150,0.450,0.850,0.550,37.900,37.900,medium,2.000,Olive trade,citizenship,social,Macedonian conquest,conquest,Male citizens only,0,1.222,2
Ayutthaya Elephant Bureaucracy,Thailand,Early Modern,1351,0.400,0.300,0.500,0.400,14.400,14.400,low,1.000,Rice/tin,none,none/voluntary,Burmese sack,other,Male nobles,0,1.000,1
Aztec Triple Alliance,Mesoamerica,Medieval,1428,0.800,0.700,0.200,0.850,19.400,19.400,low,1.000,Maize/chocolate,land/tribute/ritual,material,Cortés,other,Male warriors,0,1.000,3
Bactrian Greek Syncretism,Afghanistan,Classical,-250,0.750,0.450,0.050,0.400,36.700,36.700,low,1.000,Wine/gold,none,none/voluntary,Kushan conquest,conquest,Male elites,0,0.667,1
Balinese Negara,Bali,,900,0.200,0.150,0.700,0.200,,,medium,2.000,,ritual,ritual,,other,,0,0.667,3
Bamum Script Bureaucracy,Cameroon,Early Modern,1390,0.850,0.600,0.100,0.750,5.700,5.700,low,1.000,Palm oil,none,none/voluntary,German colonization,other,Male scribes,0,1.000,1
Bamum Scriptocracy,Cameroon,Modern,1880,0.850,0.600,0.100,0.750,5.500,5.500,low,1.000,Palm oil/ivory,none,none/voluntary,German annexation,other,Male scribes,0,1.000,1
Bantu Mfecane Councils,Central Africa,Iron Age,-500,0.400,0.300,0.500,0.400,-5.000,5.000,low,1.000,Iron/bananas,clan,social,None (transformation),ongoing,Gender-restricted,0,0.500,1
Barbuda Communal Land System,Barbuda,Early Modern,1685,0.150,0.200,0.900,0.200,17.600,17.600,low,1.000,Lobster fishing,land,material,Climate threats,environmental,Gender-mixed,1,0.750,1
Batavian Republic,Netherlands,Early Modern,1795,0.350,0.550,0.650,0.500,52.100,52.100,low,1.000,Trade/industry,none,none/voluntary,Napoleonic restoration,other,Male patriots,0,0.545,1
Bavarian Beer Hall Communes,Germany,Medieval,1200,0.400,0.300,0.500,0.500,48.100,48.100,low,1.000,Barley trade,none,none/voluntary,Napoleonic reforms,other,Male burghers,0,1.000,1
Benin Oba Divine Kingship,Nigeria,Medieval,1200,0.800,0.550,0.100,0.550,6.300,6.300,none,0.000,Ivory/Bronze,tribute/ritual,material,British invasion,conquest,Male obas,0,0.727,2
