System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes
Neanderthal Megafauna Councils,-300000,-40000,Eurasia,45,10,Paleolithic,2,Hunting-band rule by strength/elders,Gerontocratic Warlordism,Animism,Male-dominated,Megafauna hunting,Last survivor,H. sapiens expansion,Archaeology,0.1,0.05,0.3,0.9,0.8,0.75,0.15,0.35,low,none,1,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Denisovan Cave Networks,-100000,-40000,"Siberia, Altai Mountains",51.4,84.7,Paleolithic,3,Kinship alliances via ochre/artifact exchange,Mobile Band Democracy,Animism,Egalitarian bands,Foraging,Charismatic selection,Climate change,Archaeology,0.2,0.4,0.65,0.65,0.9,0.8,0.1,0.15,low,clan,1,2,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Natufian Grain Storage Pacts,-15000,-9000,Levant,32.5,35.3,Mesolithic,2,Wild barley harvest quotas enforced at stone silos,Proto-Agricultural Council,Ancestor cult,Gender-mixed,Foraging,Rotation,Climate change,Archaeology,0.25,0.2,0.45,0.65,0.75,0.75,0.1,0.35,low,none,1,2,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Jomon Shellfish Consensus,-14000,-300,Japan,36.5,138.6,Mesolithic,3,Seasonal shellfish harvest rules encoded in midden layers,Ecological Democracy,Animism,Gender-mixed,Marine foraging,Rotation,Yayoi migration,Archaeology,0.2,0.4,0.65,0.65,0.8,0.75,0.1,0.3,high,none,1,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Clovis Megafauna Quotas,-13000,-11000,N. America,39,-102,Paleolithic,2,Fluted-point artisans regulating mammoth hunts,Paleolithic Craft Guild,Animism,Gender-balanced,Big game,Merit-based,Extinction event,Archaeology,0.4,0.3,0.4,0.5,0.55,0.4,0.4,0.3,low,none,1,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
San Xaro Networks,-10000,1800,Southern Africa (Kalahari),-23,21,Paleolithic,4,Hunter-gatherer gift economies enforcing reciprocity,Gift Exchange Democracy,San animism,Egalitarian,Foraging,Consensus,Colonialism,Ethnography,0.05,0.05,0.25,0.95,0.95,0.9,0.1,0.05,high,none,1,3,colonial enclosure,FALSE,3,Maximum E and D case. The ridicule/levelling mechanism is explicit D. Hxaro exchange networks maintain alliance without hierarchy.
Ainu Bear Ritual Governance,-10000,1869,Japan,43.1,144.3,Paleolithic,3,Ritual bear sacrifices determining hunting territories; Spiritual resource management via sacrificed bears,Animist Ritual Autocracy,Kamuy worship,Gender-segregated,Salmon/foraging,Charismatic,Japanese annexation,Ethnography,0.85,0.6,0.2,0.1,0.1,0.2,0.1,0.3,low,ritual,1,2,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Indigenous IPLCs,-10000,Present,Global,Varies,Varies,All Ages,4,Traditional ecological governance of indigenous territories,Biocultural Stewardship,Animism,Gender-varied,Subsistence,Consensus,Land grabs,UN Reports,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Yolngu Aboriginal Kinship,-10000,Present,Australia,-12.7,136.8,Paleolithic,4,Dreamtime-based land management via songlines,Kinship Network,Dreamtime,Gender-restricted,Foraging,Oral tradition,None,Ethnography,0.4,0.3,0.4,0.5,0.5,0.55,0.1,0.15,low,land,1,2,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Fuegian Canoe Councils,-8000,1880,Tierra del Fuego,-54.5,-67.2,Paleolithic,2,Mobile shoreline bands with tide-based decision cycles,Nautical Band Democracy,Animism,Egalitarian,Seal hunting,Consensus,European diseases,FitzRoy journals,0.2,0.4,0.65,0.65,0.9,0.8,0.15,0.35,low,none,1,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Aboriginal Tjurunga Councils,-8000,Present,Australia,-25,133,Paleolithic,3,Sacred stone/law governance via Dreamtime tracks,Sacred Law Network,Dreamtime,Gender-restricted,Foraging,Elder consensus,None,Oral history,0.4,0.3,0.4,0.5,0.6,0.6,0.1,0.15,low,none,1,2,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Cucuteni-Trypillia Mega-Settlements,-5500,-2750,Ukraine/Moldova,47.7,29.1,Neolithic,5,Egalitarian burn-rotate proto-cities (15k population),Communal Proto-Democracy,Earth goddess cult,Matrilocal,Wheat/barley,Consensus,Drought,Archaeology,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.3,low,none,2,2,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Nubian Qustul Sacral Kingship,-3500,-3000,Sudan,22.5,31.9,Predynastic,4,World's first divine kingship (pre-dates Egypt),Proto-Theocracy,Cattle cult,Unknown,Cattle/ivory,Unknown,Egyptian conquest,Tomb artifacts,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.15,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Sumerian Temple States,-3500,-2334,Mesopotamia,31.3,45.6,Bronze Age,5,Ziggurat-centered redistributive economies,Temple Communism,Sumerian polytheism,Male priests,Barley farming,Appointment,Akkadian conquest,Clay tablets,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.6,low,none,2,2,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Indus Priest-Kings,-3300,-1300,Pakistan/India,30.6,72.8,Bronze Age,4,Theocratic urban planners with standardized weights,Urban Theocracy,Indus religion,Unknown,Cotton trade,Unknown,Climate shift,Archaeology,0.65,0.5,0.35,0.25,0.25,0.3,0.5,0.8,low,none,2,2,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Egyptian Nomarchies,-3150,-2686,Egypt,26.8,30.8,Bronze Age,5,Regional governors (nomarchs) under divine pharaoh,Precinct Feudalism,Kemetic polytheism,Male nobles,Wine/grain,Hereditary,Centralization,Rosetta Stone,0.65,0.45,0.4,0.25,0.1,0.35,0.7,0.3,low,land,2,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Xia Dynasty Hydraulic Rule,-2070,-1600,China,34.5,109.7,Bronze Age,3,Flood-control bureaucracy described in Bamboo Annals,Hydraulic Despotism,Chinese folk religion,Male engineers,Millet farming,Hereditary,Shang conquest,Bamboo Annals,0.7,0.85,0.4,0.15,0.0,0.2,0.4,0.8,low,none,2,2,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Minoan Thalassocracy,-2000,-1100,Crete,35.3,25.1,Bronze Age,4,Palace-temple maritime network with priestess influence,Maritime Theocracy,Minoan religion,Female-dominated,Bronze trade,Dynastic,Mycenaean invasion,Archaeology,0.65,0.5,0.35,0.25,0.1,0.3,0.5,0.3,low,none,2,2,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Poverty Point Earthwork League,-1700,-1100,USA,32.6,-91.4,Archaic,3,"Pre-agricultural mound builders trading across 1,500km",Geometric Confederacy,Animism,Gender-balanced,Stone tools,Consensus,Climate shift,Archaeology,0.35,0.2,0.5,0.65,0.75,0.7,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Hittite Panku Council,-1650,-1200,Anatolia,39.7,34.8,Bronze Age,5,Assembly of nobles to depose kings (Telipinu Edict),Constitutional Oligarchy,Hittite polytheism,Male elders,Iron smelting,Elective,Sea Peoples,Cuneiform tablets,0.55,0.45,0.5,0.35,0.45,0.4,0.55,0.45,none,land/military,4,4,collapse/invasion,FALSE,3,The Panku is an early institutional D mechanism — formal council with power to constrain the king. Bronze Age Collapse eliminates it.
Hittite Sun Priest-Kings,-1600,-1200,Turkey,40,34,Bronze Age,4,Solar deity rulers with cuneiform law codes,Theocratic Monarchy,Hittite polytheism,Male priests,Wheat/iron,Hereditary,Sea Peoples,Hattusili III,0.75,0.45,0.3,0.2,0.05,0.1,0.4,0.3,low,none,2,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Mycenaean Wanax System,-1600,-1100,Greece,37.7,22.7,Bronze Age,4,Warlord-kings ruling from cyclopean citadels,Military Monarchy,Mycenaean polytheism,Male warriors,Olive oil,Dynastic,Dorian invasion,Archaeology,0.75,0.45,0.3,0.2,0.05,0.1,0.75,0.3,low,military,2,2,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Shang Dynasty Oracle Kings,-1600,-1046,China,36.1,114.3,Bronze Age,4,Divination-based rule via oracle bone rituals,Theocratic Monarchy,Shang religion,Male priests,Bronze working,Hereditary,Zhou conquest,Oracle bones,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.6,low,ritual,2,2,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Vedic Sabha Assemblies,-1500,-600,India,28.6,77.2,Bronze Age,3,Tribal assemblies described in Rigveda,Tribal Democracy,Vedic Hinduism,Male landowners,Cattle herding,Election,Urbanization,Vedic texts,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.15,low,none,2,2,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
