source,target,edge_type,direction,source_citation,strength
Athenian Democracy,Roman Republic,comparator,directed,Polybius VI; Roman constitution-makers explicitly studied Greek models (Mouritsen 2017 Politics in the Roman Republic),STRONG
Achaemenid Persian Empire,Athenian Democracy,contrast,directed,Herodotus Histories; Greek democratic identity constituted against Persian despotism (Hall 1989 Inventing the Barbarian),STRONG
Achaemenid Persian Empire,Mauryan Empire,comparator,directed,Arrian Anabasis; Chandragupta modelled administration on Achaemenid precedents after Alexander (Thapar 1973 Asoka and the Decline of the Mauryas),STRONG
Roman Republic,Venetian Republic,comparator,directed,Venetian constitution self-consciously modelled on Roman republican mixed constitution (Lane 1973 Venice; Queller 1986 The Venetian Patriciate),STRONG
Zhou Dynasty Mandate of Heaven,Confucian Bureaucracy,comparator,directed,Han dynasty institutionalised Zhou ritual-political framework via Confucian synthesis (Loewe 1986 Cambridge History of China vol 1),STRONG
Confucian Bureaucracy,Tang Dynasty,comparator,directed,Tang restored Confucian bureaucratic examination system; direct institutional continuity (Twitchett 1979 Cambridge History of China vol 3),STRONG
Tang Dynasty,Song Dynasty,comparator,directed,Song civil service examinations and administrative law directly developed Tang precedents (Chaffee 1985 The Thorny Gates of Learning),STRONG
Song Dynasty,Ming Dynasty,comparator,directed,Ming founder explicitly invoked Song civilian governance models in founding legislation (Farmer 1995 Zhu Yuanzhang and Early Ming Legislation),STRONG
Ming Dynasty,Tokugawa Shogunate,comparator,directed,Tokugawa adopted Neo-Confucian political philosophy via Zhu Xi school from Ming China (Ooms 1985 Tokugawa Ideology),STRONG
Tokugawa Shogunate,Meiji Oligarchy,contrast,directed,Meiji Restoration explicitly defined against Tokugawa system; direct institutional overthrow (Beasley 1972 The Meiji Restoration),STRONG
Abbasid Caliphate,Ottoman Empire,comparator,directed,Ottoman imperial ideology and administrative law drew on Abbasid caliphal precedents (Inalcik 1973 The Ottoman Empire; Imber 2002),STRONG
Carolingian Empire,Habsburg Composite Monarchy,comparator,directed,Habsburg emperors claimed Carolingian succession through translatio imperii (Wilson 2016 Heart of Europe; Bryce 1864),STRONG
Swiss Cantonal Democracy,Hanseatic League,parallel,undirected,Contemporaneous non-territorial high-freedom polities; mutual awareness documented (Brady 1985 Turning Swiss),MEDIUM
British Parliamentary System,Weimar Republic,comparator,directed,Weimar constitutional assembly studied British parliamentary model (Huber 1978 Deutsche Verfassungsgeschichte; Nicholls 1979),STRONG
